titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina|img_urls
Bmw X2 2019|autos|camionetas-suv|BMW|X2|2019|US$ 28,990|"Gasolina|Automática
Kilometraje:
26,786 Kms
Lima, Lima
ENTREGA INMEDIATA"|Gasolina|Automática||26786.0|Lima, Lima|[]|https://neoauto.com/auto/seminuevo/bmw-x2-2019-1849978|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1|['https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_1789743.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_9034739.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_6810399.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_1786579.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_5739179.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_6821480.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_3037027.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_7875189.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_4156705.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_5739278.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_2455657.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_8789206.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_8977841.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_8724776.webp']
Dongfeng T5 Evo 2022|autos|camionetas-suv|Dongfeng|T5 Evo|2022|US$ 18,900|"Gasolina|Automática
Kilometraje:
23,272 Kms
Lima, Lima"|Gasolina|Automática||23272.0|Lima, Lima|UNICO DUEÑO|https://neoauto.com/auto/seminuevo/dongfeng-t5-evo-2022-1851263|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1|['https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_7333637.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_4782178.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_2768308.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_9385993.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_6281211.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_6881806.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_4106751.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_8647763.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_2764326.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_3543335.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_5194585.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_7838663.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_2103909.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_6227845.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_7678981.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_3477196.webp']
Bmw X3 20i 2021|autos|camionetas-suv|BMW|X3 20i|2021|US$ 42,900|"Gasolina|Automática - Secuencial
Kilometraje:
11,000 Kms
Lima, Lima
Auto En Execlente Estado"|Gasolina|Automática|Secuencial|11000.0|Lima, Lima|UNICO DUEÑO|https://neoauto.com/auto/seminuevo/bmw-x3-20i-2021-1851204|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1|['https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_2026345.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_6432759.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_6601495.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_8345200.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_4771876.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_9445936.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_4798510.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_6104850.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_2471730.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_1224271.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_6705385.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_8486991.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_2072394.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_7363398.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_1609096.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_9636984.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_3788309.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/463366/463366_1770276.webp']
Volvo Xc-90 2024|autos|camionetas-suv|Volvo|Xc-90|2024|US$ 72,990|"Gasolina-Híbrido|Automática
Kilometraje:
7,117 Kms
Lima, Lima
VEHICULO DE EXHIBICION"|Gasolina-Híbrido|Automática||7117.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/volvo-xc-90-2024-1837983|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1|['https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_4898258.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_6605434.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_4609690.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_1889275.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_8835056.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_6515615.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_7826607.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_9523817.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_9457224.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_5524150.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_1408047.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_8142843.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_1903441.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_9730578.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_5774321.webp']
Mazda Cx-60 2024|autos|camionetas-suv|Mazda|Cx-60|2024|US$ 52,000|"Gasolina-Híbrido|Automática
Kilometraje:
10 Kms
Lima, Lima"|Gasolina-Híbrido|Automática||10.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/mazda-cx-60-2024-1844126|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1|['https://cdn.neoauto.com/elements/autos_usados/196x165/750093/750093_1844813.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/750093/750093_8137093.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/750093/750093_8765473.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/750093/750093_9954441.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/750093/750093_3358299.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/750093/750093_6586025.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/750093/750093_5033616.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/750093/750093_8747451.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/750093/750093_7456880.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/750093/750093_6505817.webp']
Toyota Fortuner 2023|autos|camionetas-suv|Toyota|Fortuner|2023|US$ 34,900|"Gasolina|Automática
Kilometraje:
69,600 Kms
Lima, Lima
TOYOTA FORTUNER"|Gasolina|Automática||69600.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/toyota-fortuner-2023-1836887|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1|['https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_7685823.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_6052108.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_4446926.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_6646411.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_5406352.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_1620439.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_8237624.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_6921422.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_3499730.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_5362027.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_8222047.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_7915225.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_8316443.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_9264120.webp']
Toyota Land Cruiser Prado 2023|autos|camionetas-suv|Toyota|Land Cruiser Prado|2023|US$ 52,000|"Gasolina|Mecánica
Kilometraje:
28,795 Kms
Lima, Lima
TOYOTA LAND CRUISER PRADO 4,0 TX-L M/T"|Gasolina|Mecánica||28795.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/toyota-land-cruiser-prado-2023-1850280|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1|['https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_7951550.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_8226049.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_5825924.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_9501151.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_8060682.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_3617828.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_3133110.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_4842098.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_5773598.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_1112511.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_9780426.webp']
Ford Bronco Sport 2022|autos|camionetas-suv|Ford|Bronco Sport|2022|US$ 32,000|"Gasolina|Automática - Secuencial
Kilometraje:
42,000 Kms
Arequipa, Arequipa
Camioneta En Perfectas Condiciones"|Gasolina|Automática|Secuencial|42000.0|Arequipa, Arequipa|SEMINUEVO|https://neoauto.com/auto/seminuevo/ford-bronco-sport-2022-1850872|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1|['https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_6073853.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_6986683.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_7265020.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_3373475.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_6984126.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_7341301.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_1819964.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_2046359.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_5787046.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_6515396.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_6836900.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_6376401.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_6001021.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_2598435.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_9080240.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_4709816.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/760633/760633_9294572.webp']
Ford Edge Sel 2018|autos|camionetas-suv|Ford|Edge Sel|2018|US$ 17,900|"Gasolina|Automática - Secuencial
Kilometraje:
44,300 Kms
Lima, Lima
FORD EDGE"|Gasolina|Automática|Secuencial|44300.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/ford-edge-sel-2018-1849382|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1|['https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_6482652.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_3435513.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_9091047.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_9576641.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_6647698.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_5446123.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_1161494.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_5746330.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_8009092.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_7087214.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_3255881.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_5629080.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_2547479.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_4168910.webp']
Toyota Corolla Cross 2023|autos|camionetas-suv|Toyota|Corolla Cross|2023|US$ 29,000|"Híbrido|Automática - Secuencial
Kilometraje:
22,184 Kms
Lima, Lima
TOYOTA COROLLA CROSS HYBRID 1,8 HV PREMIUM CVT"|Híbrido|Automática|Secuencial|22184.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/toyota-corolla-cross-2023-1849682|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1|['https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_5731061.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_3560892.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_2998443.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_9131513.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_1986903.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_8650325.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_3911483.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_9958156.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_4287102.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_5265198.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_7493435.webp']
