titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina
Bmw M3 2011|autos|deportivo|BMW|M3|2011|US$ 32,900|"Gasolina|Automática - Secuencial
Kilometraje:
79,000 Kms
Lima, Lima
Último M3 V8 Atmosférico | 420hp | Impecable"|Gasolina|Automática|Secuencial|79000.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/bmw-m3-2011-1851809|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--deportivo?page=1
Bmw 420i Gran Coupe 2019|autos|deportivo|BMW|420i Gran Coupe|2019|US$ 22,990|"Gasolina|Automática - Secuencial
Kilometraje:
47,000 Kms
Lima, Lima
Sedán De Lujo - Apple Carplay - Tracción Trasera"|Gasolina|Automática|Secuencial|47000.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/bmw-420i-gran-coupe-2019-1841661|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--deportivo?page=1
Lotus Elise 2008|autos|deportivo|Lotus|Elise|2008|US$ 29,900|"Gasolina|Mecánica
Kilometraje:
50,000 Kms
Lima, Lima
Auto En Excelente Estado - Disponible En Tienda - San Isidro"|Gasolina|Mecánica||50000.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/lotus-elise-2008-1846642|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--deportivo?page=1
Bmw M235i 2014|autos|deportivo|BMW|M235i|2014|US$ 27,500|"Gasolina|Automática
Kilometraje:
37,100 Kms
Lima, Lima
Impecable, Servicios En Inchcape"|Gasolina|Automática||37100.0|Lima, Lima|SERVICIO CONCESIONARIO|https://neoauto.com/auto/seminuevo/bmw-m235i-2014-1851565|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--deportivo?page=1
Mercedes Benz Cla 200 Coupe 2023|autos|deportivo|Mercedes Benz|Cla 200 Coupe|2023|US$ 33,500|"Gasolina|Automática
Kilometraje:
19,000 Kms
Lima, Lima
PROGRESSIVE 4X2,GARANTÍA Y 01 MANTENIMIENTO GRATIS DIVEMOTOR"|Gasolina|Automática||19000.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/mercedes-benz-cla-200-coupe-2023-1853456|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--deportivo?page=1
Mc Laren 570s Spyder 2018|autos|deportivo|Otra Marca|Mc Laren 570s Spyder|2018|US$ 280,000|"Gasolina|Automática - Secuencial
Kilometraje:
6,000 Kms
Lima, Lima
Auto En Excelente Estado - Disponible En Tienda - San Isidro"|Gasolina|Automática|Secuencial|6000.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/mc-laren-570s-spyder-2018-1851600|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--deportivo?page=1
Bmw 430i Coupe 2021|autos|deportivo|BMW|430i Coupe|2021|US$ 43,900|"Gasolina|Automática - Secuencial
Kilometraje:
11,000 Kms
Lima, Lima
Paquete M Sport | Único Propietario | Servicios En Inchcape"|Gasolina|Automática|Secuencial|11000.0|Lima, Lima|UNICO DUEÑO|https://neoauto.com/auto/seminuevo/bmw-430i-coupe-2021-1854340|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--deportivo?page=1
Mercedes Benz Cla 200 Coupe 2025|autos|deportivo|Mercedes Benz|Cla 200 Coupe|2025|US$ 43,500|"Gasolina|Automática
Kilometraje:
2,300 Kms
Lima, Lima
KIT AMG, GARANTÍA FABRICA 2027 - MANTENIMIENTOS GRATIS 2028"|Gasolina|Automática||2300.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/mercedes-benz-cla-200-coupe-2025-1854243|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--deportivo?page=1
Mercedes Benz Amg Sl 55 4matic+ 2022|autos|deportivo|Mercedes Benz|Amg Sl 55 4matic+|2022|US$ 279,000|"Gasolina|Automática - Secuencial
Kilometraje:
1,200 Kms
Lima, Lima
Auto Seminuevo - Disponible En Tienda - Único En Perú"|Gasolina|Automática|Secuencial|1200.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/mercedes-benz-amg-sl-55-4matic-2022-1817540|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--deportivo?page=1
Mercedes Benz Cla 45 Amg 2019|autos|deportivo|Mercedes Benz|Cla 45 Amg|2019|US$ 43,900|"Gasolina|Automática - Secuencial
Kilometraje:
14,962 Kms
Lima, Lima
MERCEDES BENZ CLA 45 AMG 4 MATIC COUPE 2019"|Gasolina|Automática|Secuencial|14962.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/mercedes-benz-cla-45-amg-2019-1762827|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--deportivo?page=1
