titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina
Chevrolet Corvette 2025|autos|deportivo|Chevrolet|Corvette|2025|US$ 145,000|"Gasolina|Automática - Secuencial
Kilometraje:
500 Kms
Lima, Lima
CHEVROLET CORVETTE STINGRAY 2025"|Gasolina|Automática|Secuencial|500.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/chevrolet-corvette-2025-1846356|usados|https://neoauto.com/venta-de-autos-usados--deportivo?page=1
Bmw M4 2015|autos|deportivo|BMW|M4|2015|US$ 44,000|"Gasolina|Automática - Secuencial
Kilometraje:
53,300 Kms
Lima, Lima
BMW M4 2015 COUPE"|Gasolina|Automática|Secuencial|53300.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/bmw-m4-2015-1847682|usados|https://neoauto.com/venta-de-autos-usados--deportivo?page=1
Bmw 420i Gran Coupe 2019|autos|deportivo|BMW|420i Gran Coupe|2019|US$ 24,990|"Gasolina|Automática
Kilometraje:
30,000 Kms
Lima, Lima
Servicio Recién Realizado - Ocasión - Como Nuevo"|Gasolina|Automática||30000.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/bmw-420i-gran-coupe-2019-1846560|usados|https://neoauto.com/venta-de-autos-usados--deportivo?page=1
Mercedes Benz Sec380 1983|autos|deportivo|Mercedes Benz|Sec380|1983|US$ 19,000|"Gasolina|Automática
Kilometraje:
127,000 Kms
Lima, Lima
Auto En Excelente Estado - Disponible En Tienda - San Isidro"|Gasolina|Automática||127000.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/mercedes-benz-sec380-1983-1827320|usados|https://neoauto.com/venta-de-autos-usados--deportivo?page=1
Lotus Elise 2008|autos|deportivo|Lotus|Elise|2008|US$ 29,900|"Gasolina|Mecánica
Kilometraje:
50,000 Kms
Lima, Lima
Auto En Excelente Estado - Disponible En Tienda - San Isidro"|Gasolina|Mecánica||50000.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/lotus-elise-2008-1846642|usados|https://neoauto.com/venta-de-autos-usados--deportivo?page=1
Mercedes Benz Slc-380 1981|autos|deportivo|Mercedes Benz|Slc-380|1981|US$ 22,900|"Gasolina|Automática
Kilometraje:
83,000 Kms
Lima, Lima
Auto En Execlente Estado"|Gasolina|Automática||83000.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/mercedes-benz-slc-380-1981-1848259|usados|https://neoauto.com/venta-de-autos-usados--deportivo?page=1
Ferrari 812 Superfast 2019|autos|deportivo|Ferrari|812 Superfast|2019|US$ 499,000|"Gasolina|Automática - Secuencial
Kilometraje:
2,400 Kms
Lima, Lima
Auto En Excelente Estado - Disponible En Tienda - San Isidro"|Gasolina|Automática|Secuencial|2400.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/ferrari-812-superfast-2019-1846006|usados|https://neoauto.com/venta-de-autos-usados--deportivo?page=1
Mercedes Benz Amg Sl 55 4matic+ 2022|autos|deportivo|Mercedes Benz|Amg Sl 55 4matic+|2022|US$ 279,000|"Gasolina|Automática - Secuencial
Kilometraje:
1,200 Kms
Lima, Lima
Auto Seminuevo - Disponible En Tienda - Único En Perú"|Gasolina|Automática|Secuencial|1200.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/mercedes-benz-amg-sl-55-4matic-2022-1817540|usados|https://neoauto.com/venta-de-autos-usados--deportivo?page=1
Mercedes Benz Cla 45 Amg 2019|autos|deportivo|Mercedes Benz|Cla 45 Amg|2019|US$ 43,900|"Gasolina|Automática - Secuencial
Kilometraje:
14,962 Kms
Lima, Lima
MERCEDES BENZ CLA 45 AMG 4 MATIC COUPE 2019"|Gasolina|Automática|Secuencial|14962.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/mercedes-benz-cla-45-amg-2019-1762827|usados|https://neoauto.com/venta-de-autos-usados--deportivo?page=1
Mercedes Benz Amg Glc 43 4matic 2025|autos|deportivo|Mercedes Benz|Amg Glc 43 4matic|2025|US$ 108,900|"Gasolina-Híbrido|Automática
Kilometraje:
7,900 Kms
Lima, Lima
AMG 4MATIC, GARANTÍA DE FÁBRICA - MANTENIMIENTOS DIVEMOTOR"|Gasolina-Híbrido|Automática||7900.0|Lima, Lima|SUPER EQUIPADO|https://neoauto.com/auto/seminuevo/mercedes-benz-amg-glc-43-4matic-2025-1845349|usados|https://neoauto.com/venta-de-autos-usados--deportivo?page=1
