titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina
Mini Hatch 5dr 2024|autos|hatchback|Mini|Hatch 5dr|2024|US$ 27,900|"Gasolina|Automática - Secuencial
Kilometraje:
8,239 Kms
Lima, Lima
MINI COOPER 5 PUERTAS HATCHBACK 2024"|Gasolina|Automática|Secuencial|8239|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/mini-hatch-5dr-2024-1843790|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--hatchback?page=1
Toyota Yaris 2023|autos|hatchback|Toyota|Yaris|2023|US$ 14,900|"Gasolina|Automática - Secuencial
Kilometraje:
30,000 Kms
Lima, Lima
Motor 1.3 - Automatico - HB"|Gasolina|Automática|Secuencial|30000|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/toyota-yaris-2023-1853261|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--hatchback?page=1
Audi A3 Sportback 2018|autos|hatchback|Audi|A3 Sportback|2018|US$ 24,900|"Gasolina|Automática - Secuencial
Kilometraje:
36,598 Kms
Lima, Lima
AUDI A3 SPORTBACK SPORT TFSI - 2018"|Gasolina|Automática|Secuencial|36598|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/audi-a3-sportback-2018-1851841|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--hatchback?page=1
Mini Hatch 5dr 2020|autos|hatchback|Mini|Hatch 5dr|2020|US$ 19,990|"Gasolina|Automática
Kilometraje:
48,300 Kms
Lima, Lima
ENTREGA INMEDIATA"|Gasolina|Automática||48300|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/mini-hatch-5dr-2020-1850934|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--hatchback?page=1
Audi A3 Sportback 2019|autos|hatchback|Audi|A3 Sportback|2019|US$ 20,900|"Gasolina|Automática - Secuencial
Kilometraje:
29,000 Kms
Lima, Lima
Audi A3 Sportback 1.2 TFSI - MY 2019"|Gasolina|Automática|Secuencial|29000|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/audi-a3-sportback-2019-1851756|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--hatchback?page=1
Mazda 3 Sport 2019|autos|hatchback|Mazda|3 Sport|2019|US$ 15,800|"Gasolina|Automática - Secuencial
Kilometraje:
65,110 Kms
Lima, Lima
MAZDA 3 SPORT AT 2.5 HIGH / JC UGARTE"|Gasolina|Automática|Secuencial|65110|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/mazda-3-sport-2019-1851828|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--hatchback?page=1
Chevrolet Onix 2024|autos|hatchback|Chevrolet|Onix|2024|US$ 15,790|"Gasolina|Automática
Kilometraje:
5,797 Kms
Lima, Lima
ENTREGA INMEDIATA"|Gasolina|Automática||5797|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/chevrolet-onix-2024-1851779|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--hatchback?page=1
Audi A3 Sportback 2018|autos|hatchback|Audi|A3 Sportback|2018|US$ 18,900|"Gasolina|Automática - Secuencial
Kilometraje:
57,600 Kms
Lima, Lima
A3 Sportback 1.2TFSI Stronic"|Gasolina|Automática|Secuencial|57600|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/audi-a3-sportback-2018-1853305|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--hatchback?page=1
Seat Leon Cupra 2020|autos|hatchback|Cupra|Seat Leon|2020|US$ 23,990|"Gasolina|Automática - Secuencial
Kilometraje:
45,000 Kms
Lima, Lima
Segundo Dueño - Todo En La Casa - Deportivo"|Gasolina|Automática|Secuencial|45000|Lima, Lima|MOTOR POTENTE|https://neoauto.com/auto/seminuevo/seat-leon-cupra-2020-1843511|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--hatchback?page=1
Bmw 118i 2023|autos|hatchback|BMW|118i|2023|US$ 27,900|"Gasolina|Automática - Secuencial
Kilometraje:
43,039 Kms
Lima, Lima
BMW 118i HATCHBACK 2023"|Gasolina|Automática|Secuencial|43039|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/bmw-118i-2023-1844740|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--hatchback?page=1
