titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina
Hyundai I20 2024|autos|hatchback|Hyundai|I20|2024|US$ 16,490|"Gas GLP|Mecánica
Kilometraje:
22 Kms
Lima, Lima
ENTREGA INMEDIATA VERSIÓN SPORT GLP"|Gas Glp|Mecánica||22.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/hyundai-i20-2024-1843605|usados|https://neoauto.com/venta-de-autos-usados--hatchback?page=1
Mini Hatch 3dr 2025|autos|hatchback|Mini|Hatch 3dr|2025|US$ 35,990|"Gasolina|Automática - Secuencial
Kilometraje:
5,198 Kms
Lima, Lima
Único Dueño, Pocos Kms Y Todo En La Casa! Ocasión"|Gasolina|Automática|Secuencial|5198.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/mini-hatch-3dr-2025-1838721|usados|https://neoauto.com/venta-de-autos-usados--hatchback?page=1
Bmw 118i 2023|autos|hatchback|BMW|118i|2023|US$ 27,900|"Gasolina|Automática - Secuencial
Kilometraje:
43,039 Kms
Lima, Lima
BMW 118i HATCHBACK 2023"|Gasolina|Automática|Secuencial|43039.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/bmw-118i-2023-1844740|usados|https://neoauto.com/venta-de-autos-usados--hatchback?page=1
Mini Cooper 2019|autos|hatchback|Mini|Cooper|2019|US$ 18,900|"Gasolina|Automática - Secuencial
Kilometraje:
42,000 Kms
Lima, Lima
Paquete John Cooper Works | Mantenimiento Reciente"|Gasolina|Automática|Secuencial|42000.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/mini-cooper-2019-1845775|usados|https://neoauto.com/venta-de-autos-usados--hatchback?page=1
Hyundai I10 2024|autos|hatchback|Hyundai|I10|2024|US$ 13,990|"Gas GLP|Automática
Kilometraje:
4,600 Kms
Lima, Lima
ENTREGA INMEDIATA"|Gas Glp|Automática||4600.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/hyundai-i10-2024-1846923|usados|https://neoauto.com/venta-de-autos-usados--hatchback?page=1
Audi S3 Hb 2024|autos|hatchback|Audi|S3 Hb|2024|US$ 59,990|"Gasolina|Automática - Secuencial
Kilometraje:
6,236 Kms
Lima, Lima
S3 2024: Potencia Deportiva En Cada Aceleración"|Gasolina|Automática|Secuencial|6236.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/audi-s3-hb-2024-1843037|usados|https://neoauto.com/venta-de-autos-usados--hatchback?page=1
Audi A3 Sportback 2019|autos|hatchback|Audi|A3 Sportback|2019|US$ 20,900|"Gasolina|Automática - Secuencial
Kilometraje:
28,000 Kms
Lima, Lima
Audi A3 Attraction 1.2 TFSI, 110 HP, MY19"|Gasolina|Automática|Secuencial|28000.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/audi-a3-sportback-2019-1844867|usados|https://neoauto.com/venta-de-autos-usados--hatchback?page=1
Mercedes Benz A200 2019|autos|hatchback|Mercedes Benz|A200|2019|US$ 23,900|"Gasolina|Automática
Kilometraje:
66,737 Kms
Lima, Lima"|Gasolina|Automática||66737.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/mercedes-benz-a200-2019-1846846|usados|https://neoauto.com/venta-de-autos-usados--hatchback?page=1
Audi A3 Sportback 2018|autos|hatchback|Audi|A3 Sportback|2018|US$ 19,900|"Gasolina|Automática - Secuencial
Kilometraje:
57,000 Kms
Lima, Lima"|Gasolina|Automática|Secuencial|57000.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/audi-a3-sportback-2018-1845927|usados|https://neoauto.com/venta-de-autos-usados--hatchback?page=1
Mercedes Benz A200 2018|autos|hatchback|Mercedes Benz|A200|2018|US$ 20,990|"Gasolina|Automática
Kilometraje:
34,341 Kms
Lima, Lima
ENTREGA INMEDIATA"|Gasolina|Automática||34341.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/mercedes-benz-a200-2018-1840758|usados|https://neoauto.com/venta-de-autos-usados--hatchback?page=1
