titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina
Mazda 3 2026|autos|sedan|Mazda|3|2026|US$ 25,590|"Gasolina|Mecánica
Lima, Lima
Adquiere Tu Mazda 3 Sedán Con Muchos Beneficios"|Gasolina|Mecánica|||Lima, Lima|[]|https://neoauto.com/auto/nuevo/mazda-3-2026-1857713|nuevos|https://neoauto.com/venta-de-autos-nuevos--sedan?page=1
Mg Gt 2023|autos|sedan|MG|Gt|2023|US$ 14,590|"Gasolina|Mecánica
Lima, Lima"|Gasolina|Mecánica|||Lima, Lima|[]|https://neoauto.com/auto/nuevo/mg-gt-2023-1855008|nuevos|https://neoauto.com/venta-de-autos-nuevos--sedan?page=1
Mazda 6 2025|autos|sedan|Mazda|6|2025|US$ 28,990|"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|Gasolina|Automática||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/mazda-6-2025-1827039|nuevos|https://neoauto.com/venta-de-autos-nuevos--sedan?page=1
Mazda 3 2025|autos|sedan|Mazda|3|2025|US$ 25,990|"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|Gasolina|Mecánica||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/mazda-3-2025-1705780|nuevos|https://neoauto.com/venta-de-autos-nuevos--sedan?page=1
Mazda 2 2025|autos|sedan|Mazda|2|2025|US$ 20,790|"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|Gasolina|Mecánica||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/mazda-2-2025-1827037|nuevos|https://neoauto.com/venta-de-autos-nuevos--sedan?page=1
Kia Soluto 2025|autos|sedan|Kia|Soluto|2025|US$ 11,190|"Gasolina|Mecánica
Lima, Lima"|Gasolina|Mecánica|||Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/kia-soluto-2025-1857000|nuevos|https://neoauto.com/venta-de-autos-nuevos--sedan?page=1
Honda Accord 2025|autos|sedan|Honda|Accord|2025|US$ 43,990|"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|Gasolina|Automática||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/honda-accord-2025-1827043|nuevos|https://neoauto.com/venta-de-autos-nuevos--sedan?page=1
Hyundai Grand I10 2026|autos|sedan|Hyundai|Grand I10|2026|US$ 12,390|"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|Gasolina|Mecánica||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/hyundai-grand-i10-2026-1702772|nuevos|https://neoauto.com/venta-de-autos-nuevos--sedan?page=1
Honda City 2024|autos|sedan|Honda|City|2024|US$ 19,990|"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|Gasolina|Automática||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/honda-city-2024-1709631|nuevos|https://neoauto.com/venta-de-autos-nuevos--sedan?page=1
Hyundai Accent 2026|autos|sedan|Hyundai|Accent|2026|US$ 17,290|"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|Gasolina|Mecánica||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/hyundai-accent-2026-1702775|nuevos|https://neoauto.com/venta-de-autos-nuevos--sedan?page=1
Nissan Sentra 2024|autos|sedan|Nissan|Sentra|2024|US$ 18,190|"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|Gasolina|Mecánica||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/nissan-sentra-2024-1709645|nuevos|https://neoauto.com/venta-de-autos-nuevos--sedan?page=1
Nissan Versa 2026|autos|sedan|Nissan|Versa|2026|US$ 16,950|"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|Gasolina|Mecánica||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/nissan-versa-2026-1709639|nuevos|https://neoauto.com/venta-de-autos-nuevos--sedan?page=1
Honda Civic 2024|autos|sedan|Honda|Civic|2024|US$ 34,990|"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|Gasolina|Automática||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/honda-civic-2024-1709637|nuevos|https://neoauto.com/venta-de-autos-nuevos--sedan?page=1
Ford Maverick 2025|autos|sedan|Ford|Maverick|2025|US$ 28,990|"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|Gasolina|Automática||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/ford-maverick-2025-1726273|nuevos|https://neoauto.com/venta-de-autos-nuevos--sedan?page=1
