titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina
Chery Arrizo 5 2023|autos|sedan|Chery|Arrizo 5|2023|US$ 10,990|"Gasolina|Mecánica
Kilometraje:
50 Kms
Lima, Lima"|Gasolina|Mecánica||50.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/chery-arrizo-5-2023-1842084|usados|https://neoauto.com/venta-de-autos-usados--sedan?page=1
Mercedes Benz C63 Amg S 2015|autos|sedan|Mercedes Benz|C63 Amg S|2015|US$ 47,500|"Gasolina|Automática - Secuencial
Kilometraje:
23,000 Kms
Lima, Lima
Auto En Execlente Estado"|Gasolina|Automática|Secuencial|23000.0|Lima, Lima|UNICO DUEÑO|https://neoauto.com/auto/seminuevo/mercedes-benz-c63-amg-s-2015-1846431|usados|https://neoauto.com/venta-de-autos-usados--sedan?page=1
Volkswagen Jetta Gli 2024|autos|sedan|Volkswagen|Jetta Gli|2024|US$ 22,900|"Gasolina|Automática - Secuencial
Kilometraje:
8,000 Kms
Lima, Lima
Auto En Excelente Estado - Disponible En Tienda - El Polo"|Gasolina|Automática|Secuencial|8000.0|Lima, Lima|UNICO DUEÑO|https://neoauto.com/auto/seminuevo/volkswagen-jetta-gli-2024-1854412|usados|https://neoauto.com/venta-de-autos-usados--sedan?page=1
Nissan Versa 2014|autos|sedan|Nissan|Versa|2014|US$ 8,990|"Gasolina|Mecánica
Kilometraje:
98,445 Kms
Lima, Lima
NISSAN VERSA SENSE 2014"|Gasolina|Mecánica||98445.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/nissan-versa-2014-1854100|usados|https://neoauto.com/venta-de-autos-usados--sedan?page=1
Audi A3 Sedan 2024|autos|sedan|Audi|A3 Sedan|2024|US$ 32,900|"Gasolina|Automática - Secuencial
Kilometraje:
10,500 Kms
Lima, Lima
DEMO De Audi"|Gasolina|Automática|Secuencial|10500.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/audi-a3-sedan-2024-1846140|usados|https://neoauto.com/venta-de-autos-usados--sedan?page=1
Mercedes Benz C-200 2018|autos|sedan|Mercedes Benz|C-200|2018|US$ 19,900|"Gasolina|Automática
Kilometraje:
48,118 Kms
Lima, Lima"|Gasolina|Automática||48118.0|Lima, Lima|[]|https://neoauto.com/auto/seminuevo/mercedes-benz-c-200-2018-1820915|usados|https://neoauto.com/venta-de-autos-usados--sedan?page=1
Toyota Yaris 2024|autos|sedan|Toyota|Yaris|2024|US$ 17,000|"Gasolina|Automática - Secuencial
Kilometraje:
22,473 Kms
Lima, Lima
TOYOTA YARIS SEDAN 2024 1.3 LTS 4X2 CVT"|Gasolina|Automática|Secuencial|22473.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/toyota-yaris-2024-1852869|usados|https://neoauto.com/venta-de-autos-usados--sedan?page=1
Bmw 318i 2017|autos|sedan|BMW|318i|2017|US$ 17,900|"Gasolina|Automática - Secuencial
Kilometraje:
78,314 Kms
Lima, Lima
BMW 318i / JC UGARTE"|Gasolina|Automática|Secuencial|78314.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/bmw-318i-2017-1852574|usados|https://neoauto.com/venta-de-autos-usados--sedan?page=1
Volkswagen Jetta Gli 2009|autos|sedan|Volkswagen|Jetta Gli|2009|US$ 11,500|"Gasolina|Mecánica
Kilometraje:
95,845 Kms
Lima, Lima"|Gasolina|Mecánica||95845.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/volkswagen-jetta-gli-2009-1784130|usados|https://neoauto.com/venta-de-autos-usados--sedan?page=1
Bmw 318i 2016|autos|sedan|BMW|318i|2016|US$ 14,900|"Gasolina|Automática - Secuencial
Kilometraje:
78,000 Kms
Lima, Lima
Motor 1.5 - Automatico"|Gasolina|Automática|Secuencial|78000.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/bmw-318i-2016-1851781|usados|https://neoauto.com/venta-de-autos-usados--sedan?page=1
