titulo|tipo_vehiculo|marca|modelo|año|precio|detalle|combustible|transmision|caja|kilometraje|ubicacion|url_auto|tags|tipo|pagina
Kia Sorento 2022|autos|Kia|Sorento|2022|US$ 27,900|"Gasolina|Automática - Secuencial
Kilometraje:
33,800 Kms
Lima, Lima
KIA SORENTO"|Gasolina|Automática|Secuencial|33800.0|Lima, Lima|https://neoauto.com/auto/seminuevo/kia-sorento-2022-1844131|UNICO DUEÑO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=1
Land Rover Discovery 2018|autos|Land Rover|Discovery|2018|US$ 41,000|"Gasolina|Automática - Secuencial
Kilometraje:
54,000 Kms
Lima, Lima
Camioneta En Excelente Estado"|Gasolina|Automática|Secuencial|54000.0|Lima, Lima|https://neoauto.com/auto/seminuevo/land-rover-discovery-2018-1839944|DE LUJO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=1
Jeep Compass 2023|autos|Jeep|Compass|2023|US$ 28,500|"Gasolina|Automática
Kilometraje:
25,700 Kms
Lima, Lima
Limited 4X2 1.3 A/T, GARANTÍA Y SERVICIOS DIVEMOTOR"|Gasolina|Automática||25700.0|Lima, Lima|https://neoauto.com/auto/seminuevo/jeep-compass-2023-1847811|SEMINUEVO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=1
Hyundai Creta Grand 2024|autos|Hyundai|Creta Grand|2024|US$ 25,490|"Gasolina|Automática
Kilometraje:
18 Kms
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSION SPORT"|Gasolina|Automática||18.0|Lima, Lima|https://neoauto.com/auto/seminuevo/hyundai-creta-grand-2024-1841355|COMO NUEVO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=1
Ram Rampage 2025|autos|Ram|page|2025|US$ 30,500|"Gasolina|Automática
Kilometraje:
9,200 Kms
Lima, Lima
Big Horn 4X4, EX DEMO DIVEMOTOR, GARANTIA DE FABRICA"|Gasolina|Automática||9200.0|Lima, Lima|https://neoauto.com/auto/seminuevo/ram-rampage-2025-1842965|SEMINUEVO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=1
Kia Sportage 2018|autos|Kia|Sportage|2018|US$ 14,900|"Gasolina|Automática
Kilometraje:
126,000 Kms
Lima, Lima"|Gasolina|Automática||126000.0|Lima, Lima|https://neoauto.com/auto/seminuevo/honda-odyssey-2013-1839271|SUPER EQUIPADO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=1
Changan Cs55 2023|autos|Changan|Cs55|2023|US$ 19,500|"Gasolina|Automática - Secuencial
Kilometraje:
35,299 Kms
Lima, Lima
KIA SPORTAGE LX AT FULL 2018"|Gasolina|Automática|Secuencial|35299.0|Lima, Lima|https://neoauto.com/auto/seminuevo/kia-sportage-2018-1834621|SERVICIO CONCESIONARIO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=1
Volkswagen Jetta 2020|autos|Volkswagen|Jetta|2020|US$ 15,700|"Gasolina|Automática
Kilometraje:
41,869 Kms
Lima, Lima"|Gasolina|Automática||41869.0|Lima, Lima|https://neoauto.com/auto/seminuevo/changan-cs55-2023-1841930|PREMIUM|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=1
Volkswagen Amarok 2022|autos|Volkswagen|Amarok|2022|US$ 18,900|"Gasolina|Automática - Secuencial
Kilometraje:
29,417 Kms
Lima, Lima
VOLKSWAGEN JETTA TRENDLINE TSI AT - 2020"|Gasolina|Automática|Secuencial|29417.0|Lima, Lima|https://neoauto.com/auto/seminuevo/volkswagen-jetta-2020-1829827|SERVICIO CONCESIONARIO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=1
Subaru Forester 2023|autos|Subaru|Forester|2023|Consultar|"Gasolina|Automática - Secuencial
Kilometraje:
10,000 Kms
Lima, Lima
Camioneta En Excelente Estado - Disponible En Tienda"|Gasolina|Automática|Secuencial|10000.0|Lima, Lima|https://neoauto.com/auto/seminuevo/maserati-levante-trofeo-2019-1763692|SERVICIO CONCESIONARIO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=1
Toyota Corolla Cross 2022|autos|Toyota|Corolla Cross|2022|US$ 34,900|"Gasolina|Automática - Secuencial
Kilometraje:
89,349 Kms
Lima, Lima
BMW X3 SDRIVE 20i 2019"|Gasolina|Automática|Secuencial|89349.0|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-x3-20i-2019-1841125|DE LUJO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=1
Nissan Urvan 2023|autos|Nissan|Urvan|2023|US$ 39,900|"Diesel|Automática - Secuencial
Kilometraje:
26,180 Kms
Lima, Lima
VOLKSWAGEN AMAROK"|Diesel|Automática|Secuencial|26180.0|Lima, Lima|https://neoauto.com/auto/seminuevo/volkswagen-amarok-2022-1847096|UNICO DUEÑO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=1
Toyota Yaris Cross 2024|autos|Toyota|Yaris Cross|2024|US$ 19,900|"Gasolina|Automática - Secuencial
Kilometraje:
20,000 Kms
Lima, Lima"|Gasolina|Automática|Secuencial|20000.0|Lima, Lima|https://neoauto.com/auto/seminuevo/jetour-x70-plus-2023-1835859|COMO NUEVO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=1
Hyundai Creta Grand 2025|autos|Hyundai|Creta Grand|2025|US$ 31,000|"Gasolina|Automática - Secuencial
Kilometraje:
43,143 Kms
Lima, Lima
SUBARU FORESTER 2.0I AWD CVT SI DRIV"|Gasolina|Automática|Secuencial|43143.0|Lima, Lima|https://neoauto.com/auto/seminuevo/subaru-forester-2023-1842864|SEMINUEVO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=1
Land Rover Discovery Sport 2016|autos|Land Rover|Discovery Sport|2016|US$ 22,500|"Gasolina|Automática
Kilometraje:
85,783 Kms
Lima, Lima
LAND ROVER RANGE ROVER DISCOVERY SPORT 2016 - FACTURABLE"|Gasolina|Automática||85783.0|Lima, Lima|https://neoauto.com/auto/seminuevo/land-rover-discovery-sport-2016-1703620|DE LUJO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=2
Volkswagen Tiguan 2015|autos|Volkswagen|Tiguan|2015|US$ 16,900|"Gasolina|Automática - Secuencial
Kilometraje:
57,186 Kms
Lima, Lima
VOLKSWAGEN TIGUAN 2.0 / JC UGARTE"|Gasolina|Automática|Secuencial|57186.0|Lima, Lima|https://neoauto.com/auto/seminuevo/volkswagen-tiguan-2015-1739454|PREMIUM|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=2
Toyota Cross 2022|autos|Toyota|Cross|2022|US$ 20,990|"Gasolina|Automática
Kilometraje:
53,316 Kms
Lima, Lima"|Gasolina|Automática||53316.0|Lima, Lima|https://neoauto.com/auto/seminuevo/toyota-cross-2022-1840618|PREMIUM|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=2
