titulo|tipo|categoria|marca|modelo|año|kilometraje_km|precio|precio_etiqueta|tipo_transmision|caja|detalle|tags|ubicacion|url_auto
Hyundai Tucson 2024|nuevo|camionetas-suv|Hyundai|Tucson|2024.0||29990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
GARANTÍA VIGENTE GRAND I10 FULL GLP"||Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2024-1846386
Hyundai Creta Grand 2025|nuevo|camionetas-suv|Hyundai|Creta Grand|2025.0||25990.0|$20K - $30K|Automática||"Gas GLP|Automática
Lima, Lima
GARANTÍA VIGENTE CRETA GRAND FULL GLP 2025"||Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2025-1846397
Hyundai Creta Grand 2025|nuevo|camionetas-suv|Hyundai|Creta Grand|2025.0|0.0|26490.0|$20K - $30K|Automática||"Gas GLP|Automática
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSION SPORT PLUS GLP"||Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2025-1846392
Hyundai Creta Grand 2025|nuevo|camionetas-suv|Hyundai|Creta Grand|2025.0|0.0|25490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSIÓN FULL"||Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2025-1846390
Hyundai Tucson 2024|nuevo|camionetas-suv|Hyundai|Tucson|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSIÓN LUXURY"||Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2024-1846389
Hyundai Creta Grand 2025|nuevo|camionetas-suv|Hyundai|Creta Grand|2025.0|0.0|25490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO"||Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2025-1846378
Hyundai Tucson 2025|nuevo|camionetas-suv|Hyundai|Tucson|2025.0||30990.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
ENTREGA INMEDIATA VERSIÓN LUXURY"||Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2025-1846396
Hyundai Tucson 2024|nuevo|camionetas-suv|Hyundai|Tucson|2024.0||29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
GARANTIA VIGENTE VERSIÓN LUXURY"||Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2024-1846382
Hyundai Creta Grand 2025|nuevo|camionetas-suv|Hyundai|Creta Grand|2025.0|0.0|26490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSIÓN SPORT PLUS"||Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2025-1846391
Honda Cr-V 2024|nuevo|camionetas-suv|Honda|Cr-V|2024.0|0.0|38990.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
Vehículos 0KM En Honda Lima Norte"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-cr-v-2024-1805794
Hyundai Creta Grand 2024|nuevo|camionetas-suv|Hyundai|Creta Grand|2024.0|0.0|25490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSION SPORT"||Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2024-1846387
Hyundai Creta Grand 2024|nuevo|camionetas-suv|Hyundai|Creta Grand|2024.0|0.0|25490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSION SPORT"||Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2024-1846383
Hyundai Tucson 2025|nuevo|camionetas-suv|Hyundai|Tucson|2025.0|0.0|31990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSIÓN LUXURY"||Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2025-1846388
Hyundai Tucson 2024|nuevo|camionetas-suv|Hyundai|Tucson|2024.0|0.0|28490.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSIÓN SPORT"||Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2024-1846380
Honda Pilot 2025|nuevo|camionetas-suv|Honda|Pilot|2025.0|0.0|57990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Vehículos 0KM En Honda Lima Norte"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-pilot-2025-1805807
Ford Territory 2026|nuevo|camionetas-suv|Ford|Territory|2026.0|0.0|25990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-territory-2026-1726194
