titulo|tipo|marca|modelo|año|kilometraje|precio|precio_etiqueta|transmision|caja|detalle|tags|ubicacion|url_auto
Hyundai Accent 2024|nuevo|Hyundai|Accent|2024||17990.0|$10K - $20K|Automática||"Gas GLP|Automática
Lima, Lima
GARANTIA VIGENTE NEW ACCENT FULL GLP"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-accent-2024-1846381
Hyundai Creta Grand 2025|nuevo|Hyundai|Creta Grand|2025||25990.0|$20K - $30K|Automática||"Gas GLP|Automática
Lima, Lima
GARANTÍA VIGENTE CRETA GRAND FULL GLP 2025"|MOTOR POTENTE|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2025-1846397
Hyundai Tucson 2024|nuevo|Hyundai|Tucson|2024|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSIÓN LUXURY"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2024-1846389
Hyundai I20 2024|nuevo|Hyundai|I20|2024||16490.0|$10K - $20K|Mecánica||"Gas GLP|Mecánica
Lima, Lima
ENTREGA INMEDIATA VERSIÓN SPORT GLP"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-i20-2024-1846394
Hyundai Tucson 2024|nuevo|Hyundai|Tucson|2024||29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
GARANTIA VIGENTE VERSIÓN LUXURY"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2024-1846382
Ford Escape 2024|nuevo|Ford|Escape|2024|0.0|37990.0|$30K - $40K|Automática||"Híbrido|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-escape-2024-1827144
Ford Mustang 2024|nuevo|Ford|Mustang|2024|0.0|61990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-mustang-2024-1827049
Mazda Cx-3 2025|nuevo|Mazda|Cx-3|2025|0.0|19990.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-3-2025-1705763
Hyundai Palisade 2025|nuevo|Hyundai|Palisade|2025|0.0|49990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-palisade-2025-1702785
Kia Sportage 2025|nuevo|Kia|Sportage|2025|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846406
Hyundai Santa Fe 2025|nuevo|Hyundai|Santa Fe|2025|0.0|43990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-accord-2025-1827043
Mazda Cx-5 2026|nuevo|Mazda|Cx-5|2026|0.0|36990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-santa-fe-2025-1702784
Renault Stepway 2025|nuevo|Renault|Stepway|2025|0.0|29490.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-5-2026-1705764
Nissan X-Trail 2025|nuevo|Nissan|X-Trail|2025|0.0|16490.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-stepway-2025-1705791
Hyundai Creta 2026|nuevo|Hyundai|Creta|2026|0.0|31660.0|$30K - $40K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-x-trail-2025-1709646
Mazda Cx-9 2025|nuevo|Mazda|Cx-9|2025|0.0|24290.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-2026-1702779
Mazda 2 Sport 2025|nuevo|Mazda|2 Sport|2025|0.0|38990.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-9-2025-1734339
Nissan Versa 2025|nuevo|Nissan|Versa|2025|0.0|21490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-2-sport-2025-1827034
Mazda 2 2024|nuevo|Mazda|2|2024|0.0|16190.0|$10K - $20K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-glory-560-2026-1827069
Mazda Cx-30 2024|nuevo|Mazda|Cx-30|2024|0.0|27990.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-30-2024-1705778
Ford Ranger 2025|nuevo|Ford|Ranger|2025|0.0|13790.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-glory-330s-2025-1827062
Renault Oroch 2026|nuevo|Renault|Oroch|2026||22490.0|$20K - $30K|Mecánica||"Diesel|Mecánica
Lima, Lima
Visítanos Y Descubre Todas Tus Opciones"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/jmc-grand-avenue-comfort-2026-1842718
Kia Sportage 2025|nuevo|Kia|Sportage|2025|0.0|32990.0|$30K - $40K|Mecánica||"Diesel|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-ranger-2025-1743708
Nissan Urvan 2025|nuevo|Nissan|Urvan|2025|0.0|25990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Vehículos 0KM En Honda Lima Norte"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-hr-v-2025-1805804
Ford Ranger Raptor 2024|nuevo|Ford|Ranger Raptor|2024|0.0|17490.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-oroch-2026-1705789
Hyundai Creta Grand 2025|nuevo|Hyundai|Creta Grand|2025|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846418
Ford Expedition 2025|nuevo|Ford|Expedition|2025|0.0|43010.0|$40K a más|Mecánica||"Diesel|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-urvan-2025-1709642
Kia Sportage 2024|nuevo|Kia|Sportage|2024|0.0|66990.0|$40K a más|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-ranger-raptor-2024-1747433
Hyundai Tucson 2026|nuevo|Hyundai|Tucson|2026|0.0|29490.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2025-1702781
Ford Bronco Sport 2025|nuevo|Ford|Bronco Sport|2025||27990.0|$20K - $30K|Mecánica||"Diesel|Mecánica
Lima, Lima
Atención Personalizada Y Respaldo Garantizado"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/jmc-grand-touring-cargo-2026-1842724
Hyundai Grand I10 2026|nuevo|Hyundai|Grand I10|2026|0.0|83990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-expedition-2025-1743700
Kia Sportage 2024|nuevo|Kia|Sportage|2024|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846411
Hyundai I20 Hb 2026|nuevo|Hyundai|I20 Hb|2026|0.0|18890.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-i20-hb-2026-1702776
Nissan X-Trail E-Power 2025|nuevo|Nissan|X-Trail E-Power|2025|0.0|47740.0|$40K a más|Automática||"Híbrido|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-x-trail-e-power-2025-1827089
Mazda 6 2025|nuevo|Mazda|6|2025|0.0|28990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-6-2025-1827039
Kia Sportage 2024|nuevo|Kia|Sportage|2024|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846413
Mazda Cx-60 2025|nuevo|Mazda|Cx-60|2025|0.0|19290.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-glory-580-2025-1826170
Ford Bronco 2024|nuevo|Ford|Bronco|2024|0.0|44490.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-60-2025-1743570
Nissan Qashqai 2025|nuevo|Nissan|Qashqai|2025|0.0|84990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-bronco-2024-1827048
Hyundai Accent 2026|nuevo|Hyundai|Accent|2026|0.0|56990.0|$40K a más|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-type-r-2024-1827045
