titulo|tipo|marca|modelo|año|kilometraje_km|precio|precio_etiqueta|tipo_transmision|caja|detalle|tags|ubicacion|url_auto
Hyundai Grand I10 2024|nuevo|Hyundai|Grand I10|2024.0|0.0|13490.0|$10K - $20K|Mecánica||"Gas GLP|Mecánica
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSIÓN FULL GLP"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-grand-i10-2024-1846393
Honda Pilot 2025|nuevo|Honda|Pilot|2025.0|0.0|57990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Vehículos 0KM En Honda Lima Norte"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-pilot-2025-1805807
Hyundai Tucson 2024|nuevo|Hyundai|Tucson|2024.0||29990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
GARANTÍA VIGENTE GRAND I10 FULL GLP"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2024-1846386
Hyundai Tucson 2024|nuevo|Hyundai|Tucson|2024.0||29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
GARANTIA VIGENTE VERSIÓN LUXURY"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2024-1846382
Hyundai Grand I10 2024|nuevo|Hyundai|Grand I10|2024.0|0.0|13490.0|$10K - $20K|Mecánica||"Gas GLP|Mecánica
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-grand-i10-2024-1847421
Hyundai Creta Grand 2024|nuevo|Hyundai|Creta Grand|2024.0|0.0|25490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSION SPORT"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2024-1846387
Hyundai Tucson 2024|nuevo|Hyundai|Tucson|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSIÓN LUXURY"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2024-1846389
Hyundai Tucson 2025|nuevo|Hyundai|Tucson|2025.0||30990.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
ENTREGA INMEDIATA VERSIÓN LUXURY"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2025-1846396
Hyundai Creta Grand 2025|nuevo|Hyundai|Creta Grand|2025.0|0.0|26490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSIÓN SPORT PLUS"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2025-1846391
Hyundai I20 2024|nuevo|Hyundai|I20|2024.0||16490.0|$10K - $20K|Mecánica||"Gas GLP|Mecánica
Lima, Lima
ENTREGA INMEDIATA VERSIÓN SPORT GLP"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-i20-2024-1846394
Hyundai Tucson 2025|nuevo|Hyundai|Tucson|2025.0|0.0|31990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSIÓN LUXURY"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2025-1846388
Hyundai Creta Grand 2025|nuevo|Hyundai|Creta Grand|2025.0|0.0|25490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSIÓN FULL"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2025-1846390
Hyundai Creta Grand 2025|nuevo|Hyundai|Creta Grand|2025.0|0.0|26490.0|$20K - $30K|Automática||"Gas GLP|Automática
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSION SPORT PLUS GLP"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2025-1846392
Hyundai Creta Grand 2024|nuevo|Hyundai|Creta Grand|2024.0|0.0|25490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSION SPORT"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2024-1846383
Honda Cr-V 2024|nuevo|Honda|Cr-V|2024.0|0.0|38990.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
Vehículos 0KM En Honda Lima Norte"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-cr-v-2024-1805794
Hyundai Accent 2024|nuevo|Hyundai|Accent|2024.0||17990.0|$10K - $20K|Automática||"Gas GLP|Automática
Lima, Lima
GARANTIA VIGENTE NEW ACCENT FULL GLP"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-accent-2024-1846381
Hyundai Creta Grand 2025|nuevo|Hyundai|Creta Grand|2025.0|0.0|25490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2025-1846378
