titulo|tipo|categoria|marca|modelo|año|kilometraje_km|precio|precio_etiqueta|tipo_transmision|caja|detalle|tags|ubicacion|url_auto
Mitsubishi Outlander Sport 2026|nuevo|camionetas-suv|Mitsubishi|Outlander Sport|2026.0|0.0|23990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
La Mitsubishi Outlander Sport Destaca Por Su Diseño Moderno"||Lima, Lima|https://neoauto.com/auto/nuevo/mitsubishi-outlander-sport-2026-1848948
Ford Territory 2026|nuevo|camionetas-suv|Ford|Territory|2026.0|0.0|25990.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Paga El 50% Ahora Y El Otro 50% En 1 Año Sin Intereses*"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-territory-2026-1855143
Nissan Qashqai 2025|nuevo|camionetas-suv|Nissan|Qashqai|2025.0|0.0|31090.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-qashqai-2025-1827053
Kia Sportage 2024|nuevo|camionetas-suv|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846415
Mazda Cx-90 2026|nuevo|camionetas-suv|Mazda|Cx-90|2026.0|0.0|54740.0|$50K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-90-2026-1743573
Gac Gs3 Power 2023|nuevo|camionetas-suv|Otra Marca|Gac Gs3 Power|2023.0|0.0|11290.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima"||Lima, Lima|https://neoauto.com/auto/nuevo/gac-gs3-power-2023-1854766
Mg Zx 2025|nuevo|camionetas-suv|MG|Zx|2025.0|0.0|17590.0|$10K - $20K|Automática||"Gasolina|Automática
Lima, Lima"||Lima, Lima|https://neoauto.com/auto/nuevo/mg-zx-2025-1855009
Mitsubishi Outlander 2026|nuevo|camionetas-suv|Mitsubishi|Outlander|2026.0|0.0|36990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
La Outlander Destaca Por Su Estilo Sofisticado Y Diseño"||Lima, Lima|https://neoauto.com/auto/nuevo/mitsubishi-outlander-2026-1848946
Hyundai Santa Fe 2025|nuevo|camionetas-suv|Hyundai|Santa Fe|2025.0|0.0|36990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-santa-fe-2025-1702784
Mg Rx5 2024|nuevo|camionetas-suv|MG|Rx5|2024.0|0.0|18990.0|$10K - $20K|Automática||"Gasolina|Automática
Lima, Lima"||Lima, Lima|https://neoauto.com/auto/nuevo/mg-rx5-2024-1852395
Nissan X-Trail 2025|nuevo|camionetas-suv|Nissan|X-Trail|2025.0|0.0|31660.0|$30K - $40K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-x-trail-2025-1709646
Hyundai Stargazer 2025|nuevo|camionetas-suv|Hyundai|Stargazer|2025.0|0.0|22490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-stargazer-2025-1827060
Gac Emzoom 2025|nuevo|camionetas-suv|Otra Marca|Gac Emzoom|2025.0|0.0|18490.0|$10K - $20K|Automática||"Gasolina|Automática
Lima, Lima"||Lima, Lima|https://neoauto.com/auto/nuevo/gac-emzoom-2025-1854761
Mazda Cx-9 2025|nuevo|camionetas-suv|Mazda|Cx-9|2025.0|0.0|38990.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-9-2025-1734339
Honda Hr-V 2025|nuevo|camionetas-suv|Honda|Hr-V|2025.0|0.0|27490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-hr-v-2025-1769746
Mazda Cx-5 2026|nuevo|camionetas-suv|Mazda|Cx-5|2026.0|0.0|29490.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-5-2026-1705764
Mazda Cx-30 2026|nuevo|camionetas-suv|Mazda|Cx-30|2026.0|0.0|27990.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-30-2026-1705778
Mitsubishi Montero Sport 2025|nuevo|camionetas-suv|Mitsubishi|Montero Sport|2025.0|0.0|48990.0|$40K - $50K|Mecánica||"Diesel|Mecánica
Lima, Lima
La Montero Sport Combina Elegancia Y Espíritu Off Road"||Lima, Lima|https://neoauto.com/auto/nuevo/mitsubishi-montero-sport-2025-1848947
Renault Stepway 2025|nuevo|camionetas-suv|Renault|Stepway|2025.0|0.0|17990.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-stepway-2025-1705791
Gac Emkoo 2024|nuevo|camionetas-suv|Otra Marca|Gac Emkoo|2024.0|0.0|20990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima"||Lima, Lima|https://neoauto.com/auto/nuevo/gac-emkoo-2024-1854767
Hyundai Palisade 2025|nuevo|camionetas-suv|Hyundai|Palisade|2025.0|0.0|54990.0|$50K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-palisade-2025-1702785
Mazda Cx-60 2025|nuevo|camionetas-suv|Mazda|Cx-60|2025.0|0.0|43990.0|$40K - $50K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-60-2025-1743570
Ford Expedition 2025|nuevo|camionetas-suv|Ford|Expedition|2025.0|0.0|83990.0|$50K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-expedition-2025-1743700
Mazda Cx-3 2025|nuevo|camionetas-suv|Mazda|Cx-3|2025.0|0.0|23490.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-3-2025-1705763
Gac Emzoom 2025|nuevo|camionetas-suv|Otra Marca|Gac Emzoom|2025.0|0.0|14990.0|$10K - $20K|Automática||"Gasolina|Automática
Lima, Lima"||Lima, Lima|https://neoauto.com/auto/nuevo/gac-emzoom-2025-1854765
Hyundai Kona Hev 2025|nuevo|camionetas-suv|Hyundai|Kona Hev|2025.0|0.0|25990.0|$20K - $30K|Automática||"Híbrido|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-kona-hev-2025-1827057
Hyundai Venue 2026|nuevo|camionetas-suv|Hyundai|Venue|2026.0|0.0|17990.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-venue-2026-1702778
Gac Emkoo 2024|nuevo|camionetas-suv|Otra Marca|Gac Emkoo|2024.0|0.0|18990.0|$10K - $20K|Automática||"Gasolina|Automática
Lima, Lima"||Lima, Lima|https://neoauto.com/auto/nuevo/gac-emkoo-2024-1854760
